,AAPL_Price,consumer_sentiment,dollar_index,corp_profits,retail_sales,sentiment_weight
2023-01-11,144.72278471915953,-0.3686515623683989,120.92595806451614,2903.773413480223,14026.0,1612156.3821718928
2023-01-12,144.67686708511846,-0.35669165333108727,120.81708387096775,2905.527154086878,13941.0,1611137.0832341104
2023-01-13,144.63094945107736,-0.3447317442937758,120.70820967741936,2907.275335924002,13856.0,1610118.1065773594
2023-01-14,144.58503181703628,-0.33277183525646425,120.59933548387097,2909.0179589915942,13771.0,1609099.4523067046
2023-01-15,144.5391141829952,-0.3208119262191527,120.49046129032259,2910.755023289656,13686.0,1608081.120380276
2023-01-16,144.49319654895413,-0.30885201718184113,120.38158709677418,2912.4865288181873,13601.0,1607063.1107677286
2023-01-17,144.44727891491306,-0.29689210814452954,120.27271290322582,2914.203930702454,13516.0,1606045.4235053803
2023-01-18,144.40136128087198,-0.284932199107218,120.16383870967742,2915.8559596940577,13431.0,1605028.058559879
2023-01-19,144.3554436468309,-0.2729722900699065,120.05496451612903,2917.4340709182666,13346.0,1604011.0159092261
2023-01-20,144.30952601278983,-0.2610123810325949,119.94609032258064,2918.93826437508,13261.0,1602994.2956044974
2023-01-21,144.26360837874873,-0.24905247199528335,119.83721612903226,2920.3685400644986,13176.0,1601977.8975861988
2023-01-22,144.21769074470765,-0.23709256295797182,119.72834193548387,2921.724897986521,13091.0,1600961.8219508207
2023-01-23,144.17177311066658,-0.22513265392066023,119.61946774193548,2923.007338141149,13006.0,1599946.0686494277
2023-01-24,144.1258554766255,-0.21317274488334867,119.51059354838709,2924.2158605283807,12921.0,1598930.6376697586
2023-01-25,144.07993784258443,-0.20121283584603714,119.40171935483872,2925.350465148217,12836.0,1597915.5290197497
2023-01-26,144.03402020854335,-0.18925292680872555,119.29284516129033,2926.411152000658,12751.0,1596900.742663752
2023-01-27,143.98810257450228,-0.177293017771414,119.18397096774194,2927.3979210857033,12666.0,1595886.2786773983
2023-01-28,143.9421849404612,-0.16533310873410242,119.07509677419355,2928.3107724033534,12581.0,1594872.1370196692
